Number of Ants,Alpha,Beta,Best Cost,Execution Time (s),Number of Vehicles
90,0.5,2,1508.0955530733572,1095.2093727122985,13
90,0.5,5,1551.1039035216709,1082.02775637732,13
90,1.0,1,1490.9071046030585,1082.02775637732,12
90,1.0,2,1215.0034263463876,1082.02775637732,12
90,1.0,5,1442.6933991759597,1082.02775637732,13
90,2.0,1,1378.8872965951614,1082.02775637732,12
90,2.0,2,1311.8539457906918,1082.02775637732,12
90,2.0,5,1417.1082712380849,1082.02775637732,12
90,5.0,1,1452.9956980966017,1095.2093727122985,13
90,5.0,2,1867.9805430305678,1095.2093727122985,13
90,5.0,5,1800.5500570463191,1082.02775637732,14
100,0.5,1,2013.8986048334318,1082.02775637732,12
100,0.5,2,1518.854179950873,1082.02775637732,13
100,0.5,5,1688.2763187963392,1095.2093727122985,13
100,1.0,1,1528.0798410308707,1095.2093727122985,12
100,1.0,2,1305.0637546209855,1082.02775637732,12
100,1.0,5,1485.0111136149244,1082.02775637732,12
100,2.0,1,1260.6219119663147,1082.02775637732,12
100,2.0,2,1248.5319882340955,1095.2093727122985,12
100,2.0,5,1428.089834452563,1082.02775637732,12
100,5.0,1,1687.4980827540967,1095.2093727122985,11
100,5.0,2,1956.3184529578266,1082.02775637732,13
100,5.0,5,1768.3222447473963,1082.02775637732,13
